Mon, 29 Jun 2020 16:06:42 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:06:42 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:06:43 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:06:43 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:06:56 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:06:56 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:06:56 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:06:56 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:10:40 GMT | INFO | loggers.log | Verified User has valid token | 
Mon, 29 Jun 2020 16:10:40 GMT | INFO | loggers.log | User is connect to Socket IO  | 
Mon, 29 Jun 2020 16:10:40 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:10:40 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:10:40 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:10:40 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:10:40 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:10:40 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:10:40 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:10:40 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:10:47 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:10:47 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:10:47 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:10:47 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:10:49 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:10:49 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:10:49 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:10:49 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:10:50 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:10:50 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:10:50 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:10:50 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:10:52 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:10:52 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:10:52 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:10:52 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:10:55 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:10:55 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:10:55 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:10:55 GMT | INFO | loggers.log | Current User is permitted access to this route | 
